#{"t_start": 1734091739.956992, "env_id": "None"}
r,l,t
30.0,32,0.114946
30.0,36,0.120141
29.0,49,0.135613
23.0,49,0.135674
27.0,49,0.135684
29.0,49,0.135693
26.0,49,0.135699
30.0,32,0.168441
27.0,49,0.168499
30.0,36,0.172653
27.0,49,0.172701
23.0,49,0.186021
29.0,49,0.186075
26.0,49,0.186083
30.0,32,0.219247
27.0,49,0.219301
29.0,49,0.21931
30.0,36,0.223683
27.0,49,0.223735
25.0,49,0.223743
26.0,49,0.237081
30.0,32,0.257207
27.0,49,0.271019
29.0,49,0.271068
26.0,49,0.271075
30.0,36,0.275287
27.0,49,0.275338
25.0,49,0.275347
30.0,36,0.309257
30.0,32,0.309312
25.0,49,0.30932
29.0,49,0.322948
26.0,49,0.322997
27.0,49,0.327105
25.0,49,0.327159
30.0,36,0.360658
27.0,49,0.360713
30.0,32,0.360723
25.0,49,0.360729
23.0,49,0.360735
26.0,49,0.374431
25.0,49,0.378586
30.0,36,0.412105
27.0,49,0.412155
25.0,49,0.412166
30.0,32,0.412172
25.0,49,0.412177
23.0,49,0.412181
29.0,49,0.412186
30.0,32,0.44513
27.0,49,0.462924
25.0,49,0.462977
25.0,49,0.462985
23.0,49,0.462991
29.0,49,0.462996
27.0,49,0.463001
30.0,32,0.495993
25.0,49,0.496047
25.0,49,0.513625
23.0,49,0.513678
29.0,49,0.513685
27.0,49,0.513693
21.0,49,0.513698
30.0,32,0.549802
25.0,49,0.549851
23.0,49,0.54986
29.0,49,0.56887
27.0,49,0.568932
21.0,49,0.568941
22.0,49,0.568948
25.0,49,0.602845
23.0,49,0.602904
29.0,49,0.602914
27.0,49,0.620847
21.0,49,0.6209
22.0,49,0.620908
14.0,49,0.62093
30.0,30,0.652284
23.0,49,0.654458
29.0,49,0.654508
27.0,49,0.654516
21.0,49,0.672297
22.0,49,0.672359
14.0,49,0.672366
30.0,30,0.703951
27.0,49,0.704011
29.0,49,0.706053
27.0,49,0.706098
21.0,49,0.706106
22.0,49,0.723948
14.0,49,0.724005
30.0,31,0.736507
30.0,30,0.755505
27.0,49,0.755561
27.0,49,0.75778
21.0,49,0.757826
22.0,49,0.757834
14.0,49,0.775124
30.0,31,0.787585
24.0,49,0.787636
30.0,30,0.806363
27.0,49,0.806413
21.0,49,0.808531
22.0,49,0.808577
14.0,49,0.808585
30.0,44,0.833438
30.0,31,0.839014
24.0,49,0.839059
30.0,30,0.840222
27.0,49,0.858251
22.0,49,0.860303
14.0,49,0.860355
30.0,48,0.884485
30.0,44,0.885777
30.0,31,0.891073
24.0,49,0.891126
30.0,30,0.892233
27.0,49,0.892273
14.0,49,0.912119
30.0,33,0.919582
30.0,31,0.924927
30.0,48,0.936358
30.0,44,0.937427
24.0,49,0.942863
30.0,30,0.944007
27.0,49,0.944053
30.0,42,0.963877
30.0,33,0.971465
30.0,31,0.976806
24.0,49,0.976856
30.0,48,0.988063
30.0,44,0.989187
27.0,49,0.995203
30.0,42,1.015643
19.0,49,1.015687
30.0,44,1.022972
30.0,33,1.023015
30.0,31,1.028395
24.0,49,1.028435
30.0,48,1.039447
30.0,42,1.068723
19.0,49,1.068789
18.0,49,1.068797
30.0,48,1.07535
30.0,44,1.076489
30.0,33,1.076537
24.0,49,1.081602
30.0,33,1.109333
30.0,42,1.120177
19.0,49,1.120233
18.0,49,1.12024
23.0,49,1.120246
30.0,48,1.126552
30.0,44,1.127698
30.0,42,1.154368
30.0,33,1.162027
19.0,49,1.17351
18.0,49,1.173559
23.0,49,1.173568
26.0,49,1.173578
30.0,48,1.180887
30.0,42,1.21365
19.0,49,1.213698
30.0,33,1.222197
18.0,49,1.233135
23.0,49,1.233185
26.0,49,1.233194
24.0,49,1.233199
30.0,42,1.271649
19.0,49,1.271713
18.0,49,1.271729
30.0,38,1.278459
23.0,49,1.290716
26.0,49,1.290775
24.0,49,1.290787
30.0,42,1.324523
19.0,49,1.325723
18.0,49,1.325777
23.0,49,1.325785
30.0,38,1.332264
26.0,49,1.343968
24.0,49,1.344029
30.0,42,1.378134
15.0,49,1.378191
18.0,49,1.379271
23.0,49,1.379327
26.0,49,1.379338
30.0,38,1.386121
24.0,49,1.398282
30.0,41,1.422344
30.0,42,1.431334
15.0,49,1.431385
23.0,49,1.432511
26.0,49,1.432556
24.0,49,1.432564
30.0,38,1.438703
30.0,38,1.472877
30.0,41,1.475318
24.0,49,1.475366
30.0,42,1.483827
15.0,49,1.483876
26.0,49,1.484939
24.0,49,1.48499
30.0,42,1.518655
30.0,38,1.525947
30.0,41,1.528421
24.0,49,1.528472
27.0,49,1.528482
15.0,49,1.536879
24.0,49,1.538031
30.0,42,1.577411
15.0,49,1.577463
30.0,38,1.586125
30.0,41,1.589102
24.0,49,1.589153
27.0,49,1.589162
11.0,49,1.589169
30.0,41,1.623432
30.0,42,1.631787
15.0,49,1.631844
24.0,49,1.641655
27.0,49,1.641711
11.0,49,1.641719
22.0,49,1.641725
30.0,41,1.675557
24.0,49,1.675609
30.0,35,1.678632
15.0,49,1.683903
27.0,49,1.693846
11.0,49,1.693905
22.0,49,1.693914
30.0,41,1.728869
